Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Russian Federation,Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate
Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good
Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good
Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate
Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good
United States of America,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate
United States of America,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate
Belgium,Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate
Russian Federation,Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate
China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate
Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good
France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate
Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate
United States of America,Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good
Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy
Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate
Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate
Russian Federation,Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good
France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
United States of America,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
United States of America,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good
Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good
Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,Good
South Africa,Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate
United States of America,Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate
United States of America,Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate
United States of America,Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate
Brazil,Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good
Russian Federation,Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good
India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy
United States of America,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good
United States of America,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good
United States of America,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good
Belgium,Deinze,36,Good,1,Good,25,Good,3,Good,36,Good
Haiti,Delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups
United States of America,Deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate
United Kingdom of Great Britain and Northern Ireland,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate
United Kingdom of Great Britain and Northern Ireland,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate
United States of America,Destin,31,Good,0,Good,31,Good,0,Good,25,Good
India,Dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate
Philippines,Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good
Latvia,Dobele,44,Good,1,Good,34,Good,0,Good,44,Good
United States of America,Grandville,47,Good,1,Good,37,Good,4,Good,47,Good
Netherlands,Grave,37,Good,0,Good,32,Good,2,Good,37,Good
United States of America,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good
United States of America,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good
United States of America,Greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate
Colombia,Guamo,89,Moderate,3,Good,3,Good,6,Good,89,Moderate
Italy,Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate
United Kingdom of Great Britain and Northern Ireland,Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate
Russian Federation,Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good
United States of America,Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate
Germany,Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate
Germany,Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate
United States of America,Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate
Germany,Haiger,49,Good,1,Good,25,Good,3,Good,49,Good
China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy
Germany,Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good
France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good
United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good
United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good
New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good
Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,Good
India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy
Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good
Mexico,Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate
Italy,Teramo,44,Good,1,Good,44,Good,1,Good,38,Good
China,Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups
Philippines,Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate
Japan,Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate
Mexico,Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy
Brazil,Itapissuma,27,Good,0,Good,23,Good,1,Good,27,Good
Brazil,Itarantim,23,Good,1,Good,7,Good,1,Good,23,Good
Brazil,Itumbiara,31,Good,1,Good,13,Good,0,Good,31,Good
El Salvador,Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate
Russian Federation,Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,Moderate
India,Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy
Brazil,Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,Good
Poland,Jarocin,47,Good,1,Good,27,Good,2,Good,47,Good
Philippines,Jasaan,59,Moderate,1,Good,32,Good,0,Good,59,Moderate
Nigeria,Ilobu,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups
Finland,Imatra,29,Good,1,Good,29,Good,1,Good,7,Good
Brazil,Indaial,73,Moderate,2,Good,2,Good,8,Good,73,Moderate
Philippines,Indang,50,Good,0,Good,24,Good,0,Good,50,Good
Brazil,Itagi,25,Good,0,Good,9,Good,1,Good,25,Good
Nigeria,Iseyin,90,Moderate,3,Good,18,Good,2,Good,90,Moderate
Mexico,Isla,81,Moderate,2,Good,26,Good,3,Good,81,Moderate
Brazil,Itaitinga,29,Good,0,Good,20,Good,1,Good,29,Good
Brazil,Itapemirim,44,Good,1,Good,16,Good,1,Good,44,Good
South Sudan,Torit,65,Moderate,1,Good,12,Good,0,Good,65,Moderate
United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate
United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate
United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate
United States of America,Trujillo Alto,56,Moderate,0,Good,23,Good,0,Good,56,Moderate
Ireland,Tullamore,57,Moderate,1,Good,26,Good,3,Good,57,Moderate
Turkey,Tunceli,62,Moderate,0,Good,35,Good,0,Good,62,Moderate
United States of America,Two Rivers,49,Good,1,Good,27,Good,4,Good,49,Good
Russian Federation,Tyukalinsk,34,Good,1,Good,34,Good,0,Good,32,Good
India,Umaria,163,Unhealthy,2,Good,92,Moderate,0,Good,163,Unhealthy
United States of America,Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups
United States of America,Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups
United States of America,Wilmette,63,Moderate,2,Good,9,Good,22,Good,63,Moderate
United States of America,Wolf Trap,53,Moderate,2,Good,27,Good,10,Good,53,Moderate
United States of America,Woodhaven,86,Moderate,2,Good,38,Good,10,Good,86,Moderate
China,Xushan,112,Unhealthy for Sensitive Groups,2,Good,44,Good,4,Good,112,Unhealthy for Sensitive Groups
China,Yancheng,155,Unhealthy,3,Good,155,Unhealthy,2,Good,151,Unhealthy
Democratic Republic of the Congo,Yangambi,121,Unhealthy for Sensitive Groups,4,Good,24,Good,0,Good,121,Unhealthy for Sensitive Groups
China,Yanji,69,Moderate,2,Good,48,Good,0,Good,69,Moderate
United States of America,Yankton,47,Good,1,Good,34,Good,3,Good,47,Good
Germany,Wenden,69,Moderate,1,Good,34,Good,4,Good,69,Moderate
Belgium,Wetteren,64,Moderate,1,Good,32,Good,6,Good,64,Moderate
Canada,Whitehorse,20,Good,1,Good,20,Good,1,Good,10,Good
Ireland,Wicklow,38,Good,1,Good,30,Good,3,Good,38,Good
Switzerland,Wil,59,Moderate,1,Good,27,Good,3,Good,59,Moderate
Germany,Wildeshausen,67,Moderate,1,Good,30,Good,5,Good,67,Moderate
United States of America,Williamsport,75,Moderate,2,Good,13,Good,16,Good,75,Moderate
United States of America,Fox Lake,60,Moderate,2,Good,18,Good,21,Good,60,Moderate
Denmark,Frederikssund,36,Good,1,Good,36,Good,0,Good,25,Good
United States of America,Friendly,41,Good,1,Good,30,Good,8,Good,41,Good
Germany,Fuldatal,44,Good,1,Good,28,Good,2,Good,44,Good
Japan,Furano,29,Good,1,Good,26,Good,1,Good,29,Good
China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate
China,Fuzhou,168,Unhealthy,3,Good,168,Unhealthy,5,Good,99,Moderate
United Kingdom of Great Britain and Northern Ireland,Galashiels,25,Good,1,Good,25,Good,3,Good,23,Good
Germany,Gangelt,41,Good,1,Good,26,Good,4,Good,41,Good
Germany,Garbsen,36,Good,0,Good,33,Good,1,Good,36,Good
Cameroon,Garoua,59,Moderate,2,Good,12,Good,0,Good,59,Moderate
Netherlands,Geertruidenberg,35,Good,0,Good,33,Good,2,Good,35,Good
Australia,Geraldton,29,Good,0,Good,29,Good,0,Good,13,Good
Germany,Germersheim,51,Moderate,1,Good,29,Good,3,Good,51,Moderate
Colombia,Girardot,103,Unhealthy for Sensitive Groups,4,Good,9,Good,6,Good,103,Unhealthy for Sensitive Groups
United Kingdom of Great Britain and Northern Ireland,Golborne,35,Good,1,Good,30,Good,4,Good,35,Good
Portugal,Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good
Portugal,Gondomar,27,Good,0,Good,27,Good,2,Good,21,Good
India,Govindgarh,307,Hazardous,1,Good,45,Good,0,Good,307,Hazardous
United States of America,Hoffman Estates,61,Moderate,2,Good,26,Good,16,Good,61,Moderate
United States of America,Holly Springs,42,Good,1,Good,42,Good,2,Good,37,Good
United States of America,Holly Springs,42,Good,1,Good,42,Good,2,Good,37,Good
Germany,Holzminden,42,Good,0,Good,32,Good,1,Good,42,Good
Ethiopia,Huruta,102,Unhealthy for Sensitive Groups,1,Good,23,Good,0,Good,102,Unhealthy for Sensitive Groups
Italy,Iglesias,64,Moderate,1,Good,53,Moderate,1,Good,64,Moderate
Japan,Iizuka,45,Good,1,Good,45,Good,0,Good,38,Good
Japan,Suzu,69,Moderate,1,Good,69,Moderate,1,Good,60,Moderate
Hungary,Szeged,50,Good,1,Good,41,Good,1,Good,50,Good
Iran (Islamic Republic of),Tafresh,125,Unhealthy for Sensitive Groups,2,Good,125,Unhealthy for Sensitive Groups,1,Good,82,Moderate
Philippines,Tagaytay,41,Good,1,Good,25,Good,1,Good,41,Good
Japan,Tajimi,52,Moderate,1,Good,34,Good,3,Good,52,Moderate
Japan,Takahagi,47,Good,1,Good,47,Good,1,Good,44,Good
Japan,Takahashi,36,Good,1,Good,36,Good,3,Good,34,Good
Philippines,Talacogon,37,Good,1,Good,19,Good,0,Good,37,Good
Russian Federation,Taldom,46,Good,1,Good,27,Good,1,Good,46,Good
United States of America,Tamiami,64,Moderate,1,Good,18,Good,12,Good,64,Moderate
Israel,Tamra,92,Moderate,2,Good,52,Moderate,8,Good,92,Moderate
Philippines,Tantangan,35,Good,1,Good,20,Good,0,Good,35,Good
Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate
Turkey,Tatvan,45,Good,0,Good,45,Good,0,Good,43,Good
United Kingdom of Great Britain and Northern Ireland,Yeovil,58,Moderate,1,Good,24,Good,7,Good,58,Moderate
China,Yuanping,143,Unhealthy for Sensitive Groups,2,Good,35,Good,5,Good,143,Unhealthy for Sensitive Groups
China,Yuncheng,187,Unhealthy,2,Good,36,Good,8,Good,187,Unhealthy
Belgium,Zaventem,58,Moderate,1,Good,29,Good,6,Good,58,Moderate
Belgium,Zemst,65,Moderate,1,Good,27,Good,8,Good,65,Moderate
China,Zhaozhou,73,Moderate,2,Good,66,Moderate,0,Good,73,Moderate
China,Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate
China,Zhongshan,98,Moderate,3,Good,33,Good,9,Good,98,Moderate
China,Zhuji,156,Unhealthy,4,Good,45,Good,10,Good,156,Unhealthy
Mexico,Zinacantepec,163,Unhealthy,4,Good,8,Good,18,Good,163,Unhealthy
Russian Federation,Zmeinogorsk,35,Good,1,Good,35,Good,0,Good,21,Good
Italy,Abbiategrasso,69,Moderate,1,Good,37,Good,4,Good,69,Moderate
Côte d'Ivoire,Abidjan,105,Unhealthy for Sensitive Groups,4,Good,15,Good,4,Good,105,Unhealthy for Sensitive Groups
United States of America,Acworth,64,Moderate,2,Good,37,Good,8,Good,64,Moderate
United States of America,Adelphi,54,Moderate,1,Good,32,Good,5,Good,54,Moderate
United States of America,Alabaster,80,Moderate,1,Good,18,Good,10,Good,80,Moderate
Russian Federation,Alagir,50,Good,1,Good,36,Good,1,Good,50,Good
Belgium,Alken,35,Good,1,Good,25,Good,3,Good,35,Good
Canada,Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate
Canada,Alma,55,Moderate,1,Good,27,Good,0,Good,55,Moderate
Papua New Guinea,Alotau,28,Good,0,Good,28,Good,0,Good,13,Good
Madagascar,Ambovombe,26,Good,0,Good,26,Good,0,Good,20,Good
China,Anqiu,107,Unhealthy for Sensitive Groups,2,Good,107,Unhealthy for Sensitive Groups,5,Good,86,Moderate
Madagascar,Antalaha,22,Good,0,Good,22,Good,0,Good,20,Good
United States of America,Antioch,76,Moderate,3,Good,7,Good,25,Good,76,Moderate
United States of America,Antioch,76,Moderate,3,Good,7,Good,25,Good,76,Moderate
Ghana,Apam,104,Unhealthy for Sensitive Groups,2,Good,14,Good,1,Good,104,Unhealthy for Sensitive Groups
Russian Federation,Arkadak,28,Good,1,Good,28,Good,1,Good,15,Good
Russian Federation,Arsk,28,Good,1,Good,28,Good,1,Good,19,Good
Armenia,Ashtarak,39,Good,1,Good,29,Good,1,Good,39,Good
Guatemala,Atescatempa,104,Unhealthy for Sensitive Groups,3,Good,5,Good,10,Good,104,Unhealthy for Sensitive Groups
Italy,Atri,57,Moderate,1,Good,40,Good,3,Good,57,Moderate
United Kingdom of Great Britain and Northern Ireland,Ayr,29,Good,1,Good,29,Good,2,Good,20,Good
United Kingdom of Great Britain and Northern Ireland,Ayr,29,Good,1,Good,29,Good,2,Good,20,Good
Netherlands,Baarn,34,Good,0,Good,34,Good,1,Good,26,Good
Germany,Bad Langensalza,32,Good,0,Good,30,Good,1,Good,32,Good
Pakistan,Bahawalnagar,500,Hazardous,1,Good,38,Good,1,Good,466,Hazardous
Thailand,Ban Phai,52,Moderate,0,Good,28,Good,0,Good,52,Moderate
Philippines,Bangued,27,Good,0,Good,23,Good,0,Good,27,Good
Germany,Bargteheide,38,Good,0,Good,28,Good,2,Good,38,Good
United States of America,Bartlesville,56,Moderate,1,Good,23,Good,6,Good,56,Moderate
Pakistan,Bat Khela,117,Unhealthy for Sensitive Groups,1,Good,117,Unhealthy for Sensitive Groups,1,Good,78,Moderate
Malaysia,Batu Gajah,92,Moderate,2,Good,57,Moderate,1,Good,92,Moderate
Italy,Castel Goffredo,124,Unhealthy for Sensitive Groups,2,Good,32,Good,7,Good,124,Unhealthy for Sensitive Groups
Italy,Catanzaro,68,Moderate,2,Good,68,Moderate,6,Good,57,Moderate
Philippines,Catbalogan,68,Moderate,1,Good,26,Good,0,Good,68,Moderate
Ecuador,Cayambe,39,Good,1,Good,4,Good,2,Good,39,Good
Italy,Cesenatico,38,Good,1,Good,36,Good,5,Good,38,Good
Argentina,Chacabuco,17,Good,0,Good,17,Good,1,Good,17,Good
Peru,Chachapoyas,21,Good,0,Good,4,Good,0,Good,21,Good
China,Chaoyang,151,Unhealthy,3,Good,119,Unhealthy for Sensitive Groups,1,Good,151,Unhealthy
Russian Federation,Cherepanovo,38,Good,1,Good,38,Good,0,Good,35,Good
Russian Federation,Cherkessk,49,Good,1,Good,40,Good,0,Good,49,Good
Mexico,Chilpancingo,72,Moderate,2,Good,4,Good,5,Good,72,Moderate
United States of America,Cimarron Hills,73,Moderate,1,Good,32,Good,2,Good,73,Moderate
Brazil,Coari,46,Good,1,Good,2,Good,0,Good,46,Good
United Kingdom of Great Britain and Northern Ireland,Coatbridge,35,Good,1,Good,12,Good,9,Good,35,Good
Ireland,Cobh,24,Good,0,Good,24,Good,1,Good,16,Good
Brazil,Colatina,45,Good,1,Good,14,Good,2,Good,45,Good
Dominican Republic,Comendador,65,Moderate,1,Good,12,Good,6,Good,65,Moderate
Italy,Como,112,Unhealthy for Sensitive Groups,1,Good,34,Good,4,Good,112,Unhealthy for Sensitive Groups
Brazil,Conde,19,Good,0,Good,19,Good,0,Good,11,Good
United Kingdom of Great Britain and Northern Ireland,Consett,31,Good,0,Good,31,Good,2,Good,22,Good
United States of America,Cooper City,152,Unhealthy,4,Good,4,Good,19,Good,152,Unhealthy
United States of America,Copperas Cove,31,Good,1,Good,21,Good,1,Good,31,Good
Argentina,Corrientes,13,Good,1,Good,12,Good,0,Good,13,Good
Italy,Crevalcore,103,Unhealthy for Sensitive Groups,2,Good,28,Good,9,Good,103,Unhealthy for Sensitive Groups
Azerbaijan,Culfa,52,Moderate,1,Good,35,Good,0,Good,52,Moderate
Spain,Culleredo,30,Good,0,Good,30,Good,2,Good,13,Good
India,Cuncolim,73,Moderate,0,Good,25,Good,0,Good,73,Moderate
Brazil,Curvelo,42,Good,1,Good,2,Good,4,Good,42,Good
Germany,Cuxhaven,35,Good,0,Good,35,Good,0,Good,30,Good
United States of America,Cypress Lake,46,Good,1,Good,25,Good,5,Good,46,Good
Guinea,Dalaba,63,Moderate,2,Good,13,Good,0,Good,63,Moderate
France,Beaune,39,Good,1,Good,26,Good,1,Good,39,Good
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
United States of America,Bedford,56,Moderate,1,Good,18,Good,6,Good,56,Moderate
Ghana,Begoro,105,Unhealthy for Sensitive Groups,2,Good,13,Good,2,Good,105,Unhealthy for Sensitive Groups
China,Beipiao,93,Moderate,2,Good,90,Moderate,1,Good,93,Moderate
Brazil,Bela Cruz,45,Good,0,Good,22,Good,0,Good,45,Good
Bolivia (Plurinational State of),Bermejo,54,Moderate,1,Good,8,Good,1,Good,54,Moderate
Germany,Bernburg,36,Good,0,Good,29,Good,2,Good,36,Good
United States of America,Berwick,50,Good,1,Good,35,Good,5,Good,50,Good
India,Betma,153,Unhealthy,1,Good,34,Good,0,Good,153,Unhealthy
United States of America,Beverly,48,Good,1,Good,36,Good,5,Good,48,Good
Russian Federation,Bezhetsk,24,Good,0,Good,24,Good,0,Good,24,Good
Pakistan,Bhalwal,179,Unhealthy,3,Good,179,Unhealthy,2,Good,166,Unhealthy
India,Bhiwandi,151,Unhealthy,1,Good,26,Good,1,Good,151,Unhealthy
Indonesia,Binjai,92,Moderate,2,Good,45,Good,0,Good,92,Moderate
Russian Federation,Baksan,48,Good,1,Good,39,Good,1,Good,48,Good
Colombia,Baranoa,104,Unhealthy for Sensitive Groups,1,Good,16,Good,2,Good,104,Unhealthy for Sensitive Groups
Philippines,Baras,51,Moderate,1,Good,27,Good,1,Good,51,Moderate
Philippines,Baras,51,Moderate,1,Good,27,Good,1,Good,51,Moderate
Thailand,Nong Bua,38,Good,0,Good,20,Good,0,Good,38,Good
Netherlands,Noordwijkerhout,41,Good,1,Good,27,Good,5,Good,41,Good
United States of America,Northbridge,47,Good,1,Good,46,Good,2,Good,47,Good
United Kingdom of Great Britain and Northern Ireland,Norwich,29,Good,0,Good,29,Good,3,Good,18,Good
United Kingdom of Great Britain and Northern Ireland,Norwich,29,Good,0,Good,29,Good,3,Good,18,Good
United Kingdom of Great Britain and Northern Ireland,Norwich,29,Good,0,Good,29,Good,3,Good,18,Good
Netherlands,Nuenen,37,Good,1,Good,32,Good,3,Good,37,Good
Chile,Nueva Imperial,61,Moderate,2,Good,2,Good,9,Good,61,Moderate
Mexico,Nuevo Casas Grandes,46,Good,1,Good,17,Good,2,Good,46,Good
United States of America,Oak Lawn,79,Moderate,2,Good,13,Good,27,Good,79,Moderate
United States of America,Oakdale,53,Moderate,1,Good,24,Good,9,Good,53,Moderate
United States of America,Oakdale,53,Moderate,1,Good,24,Good,9,Good,53,Moderate
Japan,Odawara,39,Good,1,Good,38,Good,2,Good,39,Good
Republic of North Macedonia,Ohrid,42,Good,1,Good,41,Good,0,Good,42,Good
Poland,Olecko,47,Good,1,Good,36,Good,0,Good,47,Good
Germany,Olfen,32,Good,1,Good,27,Good,4,Good,32,Good
Brazil,Olindina,25,Good,0,Good,6,Good,1,Good,25,Good
United States of America,Orem,73,Moderate,2,Good,26,Good,7,Good,73,Moderate
United States of America,Orinda,52,Moderate,1,Good,22,Good,11,Good,52,Moderate
Guatemala,Ostuncalco,94,Moderate,3,Good,9,Good,11,Good,94,Moderate
Nigeria,Oyo,80,Moderate,2,Good,22,Good,1,Good,80,Moderate
Italy,Pachino,48,Good,1,Good,45,Good,0,Good,48,Good
India,Padra,156,Unhealthy,1,Good,33,Good,0,Good,156,Unhealthy
France,Paita,27,Good,0,Good,27,Good,0,Good,10,Good
Philippines,Palo,55,Moderate,1,Good,20,Good,0,Good,55,Moderate
China,Panshi,76,Moderate,3,Good,32,Good,2,Good,76,Moderate
Brazil,Paragominas,36,Good,1,Good,2,Good,0,Good,36,Good
Peru,Paramonga,41,Good,1,Good,18,Good,1,Good,41,Good
United States of America,Parkville,56,Moderate,1,Good,44,Good,4,Good,56,Moderate
United States of America,Pasadena,58,Moderate,1,Good,43,Good,5,Good,58,Moderate
United States of America,Pasadena,58,Moderate,1,Good,43,Good,5,Good,58,Moderate
United States of America,Pasadena,58,Moderate,1,Good,43,Good,5,Good,58,Moderate
United States of America,Pataskala,45,Good,1,Good,32,Good,7,Good,45,Good
Kazakhstan,Pavlodar,50,Good,1,Good,41,Good,0,Good,50,Good
United States of America,Pelham,46,Good,1,Good,46,Good,2,Good,31,Good
United States of America,Pelham,46,Good,1,Good,46,Good,2,Good,31,Good
United States of America,Pelham,46,Good,1,Good,46,Good,2,Good,31,Good
United States of America,Pelham,46,Good,1,Good,46,Good,2,Good,31,Good
Mexico,Perote,77,Moderate,3,Good,7,Good,8,Good,77,Moderate
Serbia,Petrovaradin,63,Moderate,1,Good,33,Good,1,Good,63,Moderate
Thailand,Phatthalung,59,Moderate,1,Good,27,Good,0,Good,59,Moderate
Thailand,Phetchaburi,35,Good,0,Good,17,Good,0,Good,35,Good
India,Phillaur,444,Hazardous,2,Good,111,Unhealthy for Sensitive Groups,1,Good,391,Hazardous
Egypt,Rosetta,60,Moderate,2,Good,60,Moderate,3,Good,55,Moderate
Italy,Rossano,48,Good,1,Good,48,Good,0,Good,12,Good
Russian Federation,Rostov,32,Good,1,Good,32,Good,0,Good,26,Good
Russian Federation,Rostov,32,Good,1,Good,32,Good,0,Good,26,Good
United Kingdom of Great Britain and Northern Ireland,Royton,56,Moderate,0,Good,32,Good,1,Good,56,Moderate
Germany,Rudolstadt,32,Good,1,Good,32,Good,1,Good,30,Good
Czechia,Rumburk,29,Good,0,Good,29,Good,2,Good,29,Good
Malawi,Rumphi,28,Good,0,Good,19,Good,0,Good,28,Good
Brazil,Ruy Barbosa,18,Good,0,Good,8,Good,0,Good,18,Good
Japan,Sakurai,40,Good,1,Good,40,Good,2,Good,34,Good
United Kingdom of Great Britain and Northern Ireland,Salford,58,Moderate,0,Good,32,Good,1,Good,58,Moderate
Brazil,Salvador,30,Good,0,Good,16,Good,1,Good,30,Good
Brazil,Salvador,30,Good,0,Good,16,Good,1,Good,30,Good
Turkey,Samsun,36,Good,1,Good,36,Good,0,Good,30,Good
Indonesia,Prabumulih,49,Good,1,Good,30,Good,0,Good,49,Good
Brazil,Presidente Prudente,32,Good,1,Good,14,Good,1,Good,32,Good
United States of America,Prichard,28,Good,1,Good,22,Good,4,Good,28,Good
Canada,Prince George,21,Good,1,Good,21,Good,1,Good,13,Good
Peru,Pucallpa,30,Good,1,Good,1,Good,0,Good,30,Good
Spain,Puertollano,32,Good,1,Good,30,Good,1,Good,32,Good
Israel,Qiryat Gat,80,Moderate,1,Good,62,Moderate,4,Good,80,Moderate
Chile,Quillota,182,Unhealthy,14,Good,1,Good,23,Good,182,Unhealthy
India,Rafiganj,356,Hazardous,1,Good,60,Moderate,0,Good,284,Very Unhealthy
United States of America,Rahway,62,Moderate,1,Good,44,Good,5,Good,62,Moderate
India,Phulpur,226,Very Unhealthy,1,Good,48,Good,1,Good,226,Very Unhealthy
India,Phulpur,226,Very Unhealthy,1,Good,48,Good,1,Good,226,Very Unhealthy
Brazil,Picos,16,Good,0,Good,12,Good,0,Good,16,Good
Brazil,Picos,16,Good,0,Good,12,Good,0,Good,16,Good
Germany,Pirmasens,30,Good,1,Good,27,Good,2,Good,30,Good
United States of America,Plum,55,Moderate,2,Good,26,Good,12,Good,55,Moderate
Italy,Policoro,46,Good,1,Good,46,Good,0,Good,14,Good
Sierra Leone,Port Loko,48,Good,1,Good,16,Good,0,Good,48,Good
